x7z7sh	BFMTV	fr-FR	http://www.dailymotion.com/BFMTV
xf4wt7	Europe 1	fr-fR	http://www.dailymotion.com/Europe1fr
x1wd0c	Le Monde	fr-FR	http://www.dailymotion.com/lemondefr
x1us3ka	Le Petit Journal	fr-FR	http://www.dailymotion.com/LePetitJournal
xcbchz	Canal +	fr-FR	http://www.dailymotion.com/CANALPLUS
xmg7gw	Vevo	fr-FR	http://www.dailymotion.com/VEVO
x17a0v3	Bein Sports	fr-FR	http://www.dailymotion.com/beINSPORTS
xlltez	L'Equipe.fr	fr-FR	http://www.dailymotion.com/lequipe
x1bnpxt	CBS News	en-US	http://www.dailymotion.com/cbsnews
x1cfex4	the Washington Post	en-US	http://www.dailymotion.com/thewashingtonpost
x1bnp9m	CBS 	en-US	http://www.dailymotion.com/cbs
x1bd8ja	Vanity Fair	en-US	http://www.dailymotion.com/VanityFair
x1f9xlm	USATodaySport	en-US	http://www.dailymotion.com/usatodaysports
